Product URL,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/Swisslook-Polyester-15-6-inch-Backpack-Waterproof/dp/B07XYTZP4Z/ref=sr_1_78?crid=2M096C61O4MLT&keywords=bags&qid=1690514442&sprefix=ba%2Caps%2C283&sr=8-78,Red Lemon Swisslook Polyester Bange Series 45L 15.6-inch Laptop Bags Backpack for Men and Women Semi Waterproof USB with Anti Theft Pocket Travel Backpack,"₹2,839",4.3 out of 5 stars,"1,715"
https://www.amazon.in/Priority-Disney-Princess-Casual-Backpack/dp/B0849PHNG1/ref=sr_1_79?crid=2M096C61O4MLT&keywords=bags&qid=1690514442&sprefix=ba%2Caps%2C283&sr=8-79,Priority Disney Snow White 20 litres Pink Polyester Kids School Bag | Casual Backpack for Girls (25156),₹349,3.9 out of 5 stars,"4,144"
https://www.amazon.in/Half-Moon-Backpack-Spacious-Multiple/dp/B0C6N3MYL2/ref=sr_1_80?crid=2M096C61O4MLT&keywords=bags&qid=1690514442&sprefix=ba%2Caps%2C283&sr=8-80,Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,₹649,3.6 out of 5 stars,166
https://www.amazon.in/House-Quirk-Maternity-Backpack-Elephant/dp/B07QV7SH4S/ref=sr_1_129?crid=2M096C61O4MLT&keywords=bags&qid=1690514453&sprefix=ba%2Caps%2C283&sr=8-129,House of Quirk Baby Diaper,"₹1,399",4.3 out of 5 stars,"3,921"
https://www.amazon.in/Lenovo-Professional-Backpack-Water-resistant-Uncompromised/dp/B08R7S55H4/ref=sr_1_130?crid=2M096C61O4MLT&keywords=bags&qid=1690514453&sprefix=ba%2Caps%2C283&sr=8-130,"Lenovo 15.6"" Professional Backpack, Made in India, Water-resistant,Uncompromised storage, Travel friendly:Fleece-lined PC compartment,Vented,Padded BackPanel & Adjustable shoulder straps,Luggage strap",₹700,4.2 out of 5 stars,922
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-charging-combination/dp/B09H7PK5ML/ref=sr_1_131?crid=2M096C61O4MLT&keywords=bags&qid=1690514453&sprefix=ba%2Caps%2C283&sr=8-131,TRUE HUMAN Anti-Theft and USB charging port backpack with security lock Laptop,₹649,3.8 out of 5 stars,"1,865"
https://www.amazon.in/F-Gear-Talent-Laptop-Backpack-Grey/dp/B078KS2FX1/ref=sr_1_132?crid=2M096C61O4MLT&keywords=bags&qid=1690514453&sprefix=ba%2Caps%2C283&sr=8-132,"F Gear Talent Laptop Backpack With Rain Cover 32 Liters (Grey,Black)","₹1,449",4.4 out of 5 stars,"1,145"
https://www.amazon.in/Cosmus-Casual-Backpack-Charger-College/dp/B08D7D21FV/ref=sr_1_133?crid=2M096C61O4MLT&keywords=bags&qid=1690514453&sprefix=ba%2Caps%2C283&sr=8-133,Cosmus Vogue Casual Laptop Backpack with USB Charger Port 44cm 26 Litre Grey College,"₹1,409",4.2 out of 5 stars,"1,413"
https://www.amazon.in/F-Gear-Miles-Guc-Black-Waist-Bag/dp/B08NYGBDB8/ref=sr_1_134?crid=2M096C61O4MLT&keywords=bags&qid=1690514453&sprefix=ba%2Caps%2C283&sr=8-134,F Gear Miles Guc Black Sports Waist,₹529,4.4 out of 5 stars,439
https://www.amazon.in/BennettTM-Mystic-Shoulder-Messenger-Repellent/dp/B09321GJXZ/ref=sr_1_135?crid=2M096C61O4MLT&keywords=bags&qid=1690514453&sprefix=ba%2Caps%2C283&sr=8-135,Bennett™ Mystic 15.6 inch (39.6cm) Laptop Briefcase Shoulder Sling Office Business Professional Travel Messenger,₹512,4.0 out of 5 stars,"6,242"
